No,Pertanyaan,Kategori,"Sumber Aktual","Sumber Expected",Benar,"Skor Kemiripan (%)","Keyword Cocok","Rule ID","Waktu Respons (ms)","Preview Jawaban"
1,"jadwal kuliah","Exact Match",rule,rule,✓,100,jadwal,1,377,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
2,"cara isi krs","Exact Match",rule,rule,✓,100,"isi krs",2,9,"Pengisian KRS dilakukan secara online melalui portal SIA UNI..."
3,"biaya kuliah","Exact Match",rule,rule,✓,100,"biaya kuliah",4,8,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
4,"informasi beasiswa","Exact Match",rule,rule,✓,100,beasiswa,7,5,"Informasi beasiswa dapat dilihat di bagian kemahasiswaan kam..."
5,"pendaftaran wisuda","Exact Match",rule,rule,✓,100,wisuda,5,6,"Informasi wisuda dan yudisium dapat dilihat di website resmi..."
6,perpustakaan,"Exact Match",rule,rule,✓,100,perpustakaan,8,6,"Perpustakaan kampus buka setiap Senin–Jumat pukul 08.00–16.0..."
7,"surat keterangan aktif","Exact Match",rule,rule,✓,100,"surat keterangan",9,6,"Pengajuan surat keterangan aktif kuliah, legalisir, dan tran..."
8,"info skripsi","Exact Match",rule,rule,✓,100,skripsi,6,6,"Untuk informasi skripsi/tugas akhir, silakan konsultasi deng..."
9,"jadwl kuliah",Typo,rule,rule,✓,100,kuliah,1,4,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
10,"biay kuliah",Typo,rule,rule,✓,100,kuliah,1,4,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
11,beasiwa,Typo,rule,rule,✓,93.33,beasiswa,7,6,"Informasi beasiswa dapat dilihat di bagian kemahasiswaan kam..."
12,perpustakaaan,Typo,rule,rule,✓,96,perpustakaan,8,8,"Perpustakaan kampus buka setiap Senin–Jumat pukul 08.00–16.0..."
13,wisudah,Typo,rule,rule,✓,92.31,wisuda,5,8,"Informasi wisuda dan yudisium dapat dilihat di website resmi..."
14,skripsii,Typo,rule,rule,✓,93.33,skripsi,6,8,"Untuk informasi skripsi/tugas akhir, silakan konsultasi deng..."
15,"adakah informasi kontak kaprodi teknik informatika?","AI Fallback",ai,ai,✓,-,-,-,2716,"Selamat siang! Untuk mendapatkan informasi kontak Ketua Prog..."
16,"bagaimana cara mengurus cuti kuliah?","AI Fallback",rule,ai,✗,100,kuliah,1,8,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
17,"apa syarat pindah jurusan?","AI Fallback",ai,ai,✓,-,-,-,5449,"Selamat pagi/siang/sore,

Untuk persyaratan pindah jurusan d..."
18,"informasi biaya kuliah",Ambigu,rule,rule,✓,100,"biaya kuliah",4,21,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
19,"kapan kuliah dimulai",Ambigu,rule,rule,✓,100,"kapan kuliah dimulai",3,6,"Untuk informasi kalender akademik dapat dilihat di https://u..."
20,"mau tanya soal ukt",Ambigu,rule,rule,✓,100,ukt,4,5,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
